-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
    Observed    |   Rel. |    Aki     | Acc. |      Ei           Ek       |              Lower level              |              Upper level               |  gi   gk  |Type|      TP  |  Line  |
   Wavelength   |   Int. |   (s^-1)   |      |    (cm-1)       (cm-1)     |---------------------------------------|----------------------------------------|           |    |     Ref. |  Ref.  |
    Air (nm)    |        |            |      |                            | Conf.                 | Term    | J   | Conf.                 | Term     | J   |           |    |          |        |
-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
  Wavelength    |  Rel   |    Aki     | Acc  |              Ei - Ek       | L Conf                |L Term   | L J | U Conf                |U Term    | U J |   gi - gk |Type|  TP      |   Line |
       317.9064 |   1000 | 3.94e+07   | B    |  299189.96  -   330636.75  | 2s2.2p5.3p            | 1D      | 2   | 2s2.2p5.(2P*<3/2>).3d | 2[1/2]*  | 1   |   5 - 3   |    |    T7663 |  L914  |
       318.094  |    160 |            |      |                            |                       |         |     |                       |          |     |           |    |          |  L914  |
       318.624  |     40 |            |      |                            |                       |         |     |                       |          |     |           |    |          |  L914  |
       318.778  |     80 |            |      |                            |                       |         |     |                       |          |     |           |    |          |  L914  |
       318.8127 |     80 | 1.9e+07    | E    |  300387.82  -   331745.06  | 2s2.2p5.3p            | 3P      | 0   | 2s2.2p5.(2P*<3/2>).3d | 2[3/2]*  | 1   |   1 - 3   |    | T6036c79 |  L914  |
       318.9002 |    200 |            |      |                            |                       |         |     |                       |          |     |           |    |          |  L914  |
       318.9790 |   1700 | 7.30e+07   | B+   |  268762.96  -   300103.92  | 2s2.2p5.3s            | 1P*     | 1   | 2s2.2p5.3p            | 3P       | 2   |   3 - 5   |    |    T7663 |  L914  |
       319.206  |     40 |            |      |                            |                       |         |     |                       |          |     |           |    |          |  L914  |
       319.221  |     35 |            |      |                            |                       |         |     |                       |          |     |           |    |          |  L914  |
       319.414  |     80 |            |      |                            |                       |         |     |                       |          |     |           |    |          |  L914  |
       319.579  |     25 |            |      |                            |                       |         |     |                       |          |     |           |    |          |  L914  |
       319.893  |     20 |            |      |                            |                       |         |     |                       |          |     |           |    |          |  L914  |
       320.0300 |     60 | 1.5e+06    | E    |  300507.11  -   331745.06  | 2s2.2p5.3p            | 3P      | 1   | 2s2.2p5.(2P*<3/2>).3d | 2[3/2]*  | 1   |   3 - 3   |    | T6036c79 |  L914  |
       320.421  |     45 |            |      |                            |                       |         |     |                       |          |     |           |    |          |  L914  |
       320.489  |     25 |            |      |                            |                       |         |     |                       |          |     |           |    |          |  L914  |
       320.851  |     20 |            |      |                            |                       |         |     |                       |          |     |           |    |          |  L914  |
       321.2190 |   1600 | 1.12e+08   | A    |  268762.96  -   299885.37  | 2s2.2p5.3s            | 1P*     | 1   | 2s2.2p5.3p            | 1P       | 1   |   3 - 3   |    |    T7663 |  L914  |
       321.2820 |    200 |            |      |                            |                       |         |     |                       |          |     |           |    |          |  L914  |
       321.477  |    130 |            |      |                            |                       |         |     |                       |          |     |           |    |          |  L914  |
       321.6283 |    450 | 1.4e+07    | C    |  300103.92  -   331186.70  | 2s2.2p5.3p            | 3P      | 2   | 2s2.2p5.(2P*<3/2>).3d | 2[7/2]*  | 3   |   5 - 7   |    | T6036c79 |  L914  |
       321.752  |     35 |            |      |                            |                       |         |     |                       |          |     |           |    |          |  L914  |
       322.1175 |     60 |            |      |  332802.21  -   363837.82  | 2s2.2p5.(2P*<1/2>).3d | 2[5/2]* | 2   | 2s2.2p5.(2P*<3/2>).5f | 2[7/2]   | 3   |   5 - 7   |    |          |  L914  |
